Age,Salary,CreditScore,Gender,SpendingScore,MembershipYears,PreviousPurchases,Purchased
29,63618,445,Female,66,4,35,1
18,103948,724,Female,30,0,18,0
61,82671,613,Male,9,10,13,0
22,67111,483,Female,91,1,13,0
47,59613,427,Female,42,5,49,1
47,105678,586,Female,34,2,28,0
34,140592,552,Female,40,3,16,0
64,122928,685,Female,88,0,49,1
40,144917,529,Male,17,4,49,1
32,79993,570,Male,29,3,36,0
54,148652,714,Female,50,7,8,1
38,28848,497,Male,76,2,0,0
31,134853,622,Female,95,9,3,1
19,98672,355,Female,49,0,6,0
28,139279,502,Female,73,13,10,1
56,86125,437,Female,61,12,13,1
55,106444,721,Female,83,9,41,1
51,137509,356,Female,46,4,18,0
55,81602,861,Female,46,13,39,1
51,92045,370,Female,17,14,2,0
35,125997,893,Female,66,0,7,0
47,62222,671,Male,5,10,28,0
32,69223,899,Female,54,4,49,1
44,130012,813,Male,16,8,36,1
51,131246,383,Male,81,4,42,1
55,85333,342,Female,91,1,8,0
50,72732,432,Male,7,12,18,0
41,142650,694,Female,8,14,11,1
32,69420,364,Female,72,1,26,0
47,95504,589,Female,87,9,36,1
59,22462,675,Female,96,8,47,1
34,29460,766,Male,82,11,24,1
22,119319,512,Male,38,13,44,1
46,145602,447,Female,54,4,37,1
21,29275,872,Male,76,10,47,1
27,114213,770,Male,15,7,49,1
34,33269,448,Male,92,9,16,0
27,149593,387,Female,50,3,43,1
34,142672,623,Male,56,1,32,1
37,85942,695,Male,95,3,38,1
41,92920,703,Male,9,11,13,1
22,140737,381,Female,8,10,27,0
51,42553,585,Male,19,3,17,0
23,44366,681,Male,51,10,32,1
19,64036,569,Female,72,8,41,1
30,37369,591,Male,98,9,14,1
60,31795,752,Female,57,10,10,0
60,90021,323,Female,68,5,35,1
28,127205,610,Female,31,14,14,1
64,88154,760,Female,3,9,47,1
40,50143,507,Female,99,14,29,1
33,49425,737,Female,83,5,14,0
48,108209,837,Male,43,4,48,1
28,95139,635,Female,29,5,22,0
33,125232,721,Male,10,0,42,1
25,25368,620,Male,12,12,49,1
21,24621,796,Female,46,4,47,1
57,78829,886,Male,30,11,14,0
21,149036,462,Male,94,5,28,1
42,80294,840,Male,82,7,10,1
20,34719,464,Female,88,3,44,1
49,49227,865,Male,32,13,17,1
20,129430,594,Male,73,4,39,1
44,27566,341,Female,47,3,30,0
46,32306,584,Male,88,6,8,0
49,73822,686,Male,63,9,21,1
36,44042,437,Male,26,5,10,0
38,35086,486,Female,3,13,16,0
22,37387,730,Male,23,3,32,0
35,47042,853,Male,75,5,10,0
45,109424,715,Female,74,12,38,1
59,71618,725,Female,50,3,7,0
39,112050,715,Female,36,11,3,0
38,38323,325,Male,13,7,35,0
23,38019,670,Female,29,10,18,0
18,95426,684,Female,38,14,23,1
22,60863,355,Female,77,14,40,1
58,140953,552,Male,90,2,48,1
29,131023,405,Female,84,7,17,1
43,30283,429,Female,5,12,32,0
63,38279,675,Female,20,1,45,0
51,66999,607,Female,78,5,35,1
31,82780,390,Female,14,7,9,0
43,42908,692,Male,8,0,13,0
62,81584,833,Male,48,5,6,0
44,146278,409,Female,13,8,11,0
26,133002,860,Female,24,14,21,1
43,70225,884,Female,79,12,26,1
64,57952,639,Male,65,9,47,1
39,120706,864,Male,86,9,36,1
64,57663,655,Male,34,1,10,0
47,142019,467,Male,51,10,35,1
60,129708,856,Female,3,12,12,0
34,81381,751,Female,90,0,31,1
43,67929,404,Female,78,1,7,0
53,29343,449,Female,58,4,6,0
18,96173,445,Male,72,5,42,1
25,120260,598,Female,55,0,42,1
52,59791,466,Male,80,6,16,0
32,49134,347,Male,42,10,21,0
64,132366,538,Female,21,3,45,1
39,67101,306,Male,10,8,33,0
31,89443,763,Male,57,14,19,1
43,119111,752,Female,25,14,7,0
45,77530,670,Male,56,14,21,1
40,66799,848,Male,38,5,26,0
31,24827,786,Female,86,8,33,1
41,116143,510,Male,61,0,20,0
19,82653,464,Male,47,3,14,0
62,33699,424,Female,54,1,4,0
43,122828,636,Male,46,5,37,1
31,133497,491,Female,68,14,16,1
24,111419,513,Male,4,3,7,0
20,134527,873,Male,94,8,18,1
64,136972,627,Female,66,13,4,1
40,25313,680,Female,93,2,22,0
63,33598,877,Male,43,0,18,0
60,131362,538,Female,62,10,13,1
64,135445,831,Male,85,12,9,1
62,48807,381,Female,85,10,30,1
35,90423,662,Male,85,0,12,0
55,89390,804,Male,4,11,21,0
52,65226,501,Male,65,8,36,1
32,79550,803,Male,62,8,38,1
42,100072,336,Male,90,4,9,0
54,23558,888,Female,2,14,30,0
45,95308,701,Female,9,1,42,0
27,70113,475,Male,57,8,34,1
56,72999,844,Male,45,12,12,1
34,75878,869,Female,18,11,29,1
56,56343,766,Female,48,12,33,1
39,78219,500,Female,42,7,35,1
43,55186,839,Female,41,12,34,1
61,56966,846,Female,75,10,46,1
42,53769,693,Male,89,9,3,1
34,139932,341,Male,90,9,3,1
30,146264,896,Female,58,5,46,1
37,125423,692,Female,42,6,5,0
42,73218,740,Female,35,11,27,1
21,39229,805,Female,38,5,29,0
27,95209,619,Female,67,14,26,1
20,47877,852,Female,41,14,4,0
58,78001,514,Female,99,4,43,1
62,117137,370,Female,50,3,38,1
35,58084,867,Female,86,6,34,1
64,101780,535,Male,72,3,38,1
53,112892,580,Female,79,9,43,1
64,36806,461,Female,45,9,14,0
39,108635,490,Male,71,9,18,1
51,130177,308,Male,19,8,29,0
64,57034,359,Male,17,4,37,0
25,60317,524,Female,65,7,31,1
57,75468,881,Female,93,11,39,1
61,39094,586,Female,77,12,28,1
36,77796,468,Female,56,14,5,0
59,30589,361,Male,93,11,25,1
58,77221,648,Female,41,11,26,1
54,144855,741,Female,42,5,34,1
23,21657,313,Male,6,3,27,0
43,118300,463,Female,69,11,4,1
51,137229,719,Female,98,2,40,1
62,59531,819,Female,75,10,47,1
23,72227,847,Female,73,5,15,0
54,23164,859,Male,40,0,40,0
50,113078,896,Male,41,1,17,0
39,103973,327,Male,9,6,12,0
38,61247,745,Male,8,14,42,1
23,124041,507,Female,44,3,24,0
23,39601,769,Female,58,4,9,0
21,113966,403,Female,67,14,28,1
47,70599,725,Male,13,10,9,0
28,91545,400,Male,19,9,5,0
47,135295,840,Male,98,0,15,1
48,24552,821,Female,96,1,24,0
41,136452,405,Female,49,3,43,1
26,29417,576,Male,80,7,3,0
20,78579,364,Male,82,9,36,1
48,127525,487,Female,78,3,33,1
57,88207,616,Female,30,13,18,1
54,92055,437,Female,66,2,32,1
53,122266,642,Male,77,2,3,0
41,98270,404,Male,91,11,43,1
48,131426,845,Male,59,4,33,1
23,137865,679,Male,53,2,11,0
19,23722,409,Female,52,7,30,0
37,90442,844,Female,81,4,15,1
45,115632,653,Female,31,11,1,0
28,60031,616,Male,15,13,48,1
21,99235,565,Female,20,11,1,0
32,41438,364,Female,5,13,35,1
23,78819,632,Female,7,6,5,0
47,63856,812,Female,18,10,22,0
55,53576,432,Female,56,7,38,1
19,61938,891,Male,75,4,46,1
32,69028,839,Female,96,7,43,1
28,79807,834,Female,91,11,36,1
25,69877,795,Male,90,14,45,1
43,117783,668,Male,45,2,15,0
62,63461,398,Female,28,14,42,1
61,113474,616,Female,50,13,43,1
22,60469,422,Female,2,11,18,0
23,103136,619,Female,84,6,48,1
43,40435,892,Male,68,7,23,0
21,104117,794,Female,77,6,26,1
36,34191,756,Male,24,13,6,0
37,104726,821,Female,48,1,29,0
50,143658,819,Female,45,7,40,1
37,135660,614,Female,93,5,13,1
29,47386,841,Male,58,9,43,1
64,51721,778,Female,36,2,14,0
18,74786,319,Female,2,3,11,0
43,33704,859,Male,18,6,28,0
31,76635,429,Female,49,2,22,0
55,22123,592,Male,8,0,12,0
54,110710,431,Female,58,5,8,0
28,129837,655,Male,15,2,23,0
53,134912,353,Male,17,10,38,1
30,82993,686,Male,23,14,29,1
60,132752,564,Female,66,9,0,0
20,100122,514,Male,70,5,9,0
50,117512,759,Male,93,9,37,1
23,45416,757,Female,27,11,46,1
27,21814,342,Male,37,2,14,0
22,98537,885,Female,49,5,8,0
40,70258,577,Female,64,10,12,1
27,36508,429,Male,34,3,22,0
61,105166,649,Male,18,12,32,1
19,98916,843,Female,64,3,8,0
30,133710,405,Male,74,9,2,0
57,55699,300,Male,44,9,29,1
19,66335,883,Male,17,10,8,0
37,66806,731,Male,59,1,24,0
18,97853,605,Female,13,13,46,1
54,83768,826,Female,52,3,23,0
26,55739,352,Male,60,10,31,1
34,54785,819,Female,42,11,6,0
26,51980,629,Male,91,3,35,1
28,109335,857,Male,64,10,24,1
32,120719,624,Male,66,6,19,1
41,114702,413,Male,34,4,16,0
55,105016,446,Female,95,7,35,1
52,21609,465,Male,87,6,25,0
47,86253,678,Female,71,9,18,1
48,105481,438,Male,64,8,36,1
22,111128,598,Female,33,7,47,1
61,48141,575,Female,12,14,2,0
31,50009,477,Female,76,8,42,1
28,147581,653,Female,19,0,27,0
26,130966,453,Male,9,9,21,0
51,26782,500,Female,74,12,46,1
29,112072,414,Male,17,11,18,0
52,119352,853,Female,50,2,45,1
52,45933,367,Female,39,4,15,0
18,97154,744,Female,41,8,5,0
57,28307,744,Male,10,7,36,0
39,112207,625,Female,12,13,30,1
46,126209,658,Male,79,9,48,1
25,128297,444,Male,95,6,47,1
28,95874,574,Male,15,1,33,0
58,58346,808,Female,28,14,30,1
54,132138,478,Female,4,10,10,0
31,70772,776,Female,36,5,35,1
47,92084,713,Female,65,3,5,0
52,60149,452,Female,98,4,26,0
38,106700,403,Female,47,13,6,1
54,47526,374,Female,81,4,48,1
22,116758,427,Male,39,12,31,1
36,105712,867,Female,38,3,7,0
31,148447,644,Male,44,3,32,1
43,88477,830,Male,51,14,46,1
21,25695,458,Female,97,3,43,1
42,59169,837,Female,85,10,14,1
62,67947,725,Male,26,1,26,0
59,67224,322,Male,36,0,29,0
42,65865,346,Female,69,11,21,0
35,45553,824,Male,97,1,46,1
57,124501,443,Male,1,6,28,0
25,80410,884,Male,53,11,40,1
56,123754,888,Male,6,0,47,0
57,110895,718,Female,37,5,29,1
31,44816,384,Female,2,3,1,0
49,75026,715,Male,69,1,14,0
55,70705,781,Male,90,14,46,1
50,81922,755,Male,41,14,26,1
40,135700,596,Female,51,2,6,0
32,93914,411,Female,47,6,26,1
50,21881,529,Male,13,5,20,0
42,59567,395,Male,76,14,12,1
34,67365,677,Male,69,14,16,1
50,147928,455,Female,66,5,10,0
64,99211,720,Male,59,7,9,0
19,90122,404,Male,68,7,32,1
31,45006,629,Male,59,5,13,0
57,61198,738,Male,91,0,36,1
57,42831,431,Male,10,9,7,0
56,120649,681,Female,13,12,32,1
23,36459,437,Female,2,6,6,0
23,52443,569,Female,90,7,33,1
20,62316,849,Male,15,4,6,0
24,116131,695,Female,46,12,6,1
25,84486,856,Male,57,10,40,1
59,25877,763,Female,10,3,35,0
32,59553,749,Female,22,6,6,0
64,134137,630,Male,89,11,19,1
46,24922,552,Male,79,11,17,0
50,142778,584,Male,77,10,44,1
47,137018,573,Female,8,12,42,1
56,24686,319,Male,21,5,40,0
44,52766,538,Female,85,11,13,0
53,99943,569,Female,22,5,39,1
46,52006,717,Female,97,13,13,1
55,51422,609,Male,45,2,20,0
50,136590,330,Male,91,10,48,1
54,148886,403,Male,40,9,26,1
44,32205,485,Female,22,14,45,1
50,106590,427,Female,30,3,25,0
21,43527,509,Male,62,4,26,0
39,131483,713,Female,73,8,23,1
19,38443,580,Female,45,7,4,0
27,36524,552,Female,35,2,41,1
22,136477,318,Male,82,5,37,1
27,48202,435,Female,42,9,27,0
50,85552,522,Female,5,0,41,0
55,66142,302,Male,27,2,42,0
30,81692,535,Male,70,9,31,1
48,102384,764,Male,62,13,23,1
64,40855,527,Male,32,11,5,0
53,103747,798,Male,8,6,9,0
62,80372,820,Male,85,6,45,1
41,45095,438,Female,18,1,2,0
32,58724,575,Female,78,2,6,0
46,69241,590,Female,15,14,28,1
25,123119,352,Female,26,6,33,0
22,72003,409,Male,53,11,6,0
46,88379,303,Female,44,5,16,0
64,114837,346,Male,32,12,12,1
21,111996,393,Male,28,6,20,0
29,117454,859,Female,39,9,30,1
62,114283,512,Female,32,8,8,0
19,35972,735,Male,77,7,44,1
44,143805,807,Male,79,5,46,1
48,113846,504,Male,18,11,12,0
53,42927,680,Male,70,13,16,0
53,140589,372,Female,11,3,7,0
43,135657,815,Male,32,13,8,0
60,86630,375,Female,20,12,8,0
44,124428,376,Male,97,9,39,1
22,142035,709,Male,40,8,47,1
37,72347,405,Male,8,6,29,0
28,119708,850,Female,35,4,6,0
27,146244,775,Male,69,1,16,1
57,108860,574,Female,99,8,38,1
55,106210,387,Female,78,13,37,1
23,89518,376,Female,21,6,4,0
25,65283,376,Male,24,8,16,0
40,101326,741,Female,17,10,39,1
64,32205,839,Female,18,8,0,0
43,140243,544,Male,98,9,15,1
63,109874,877,Male,12,4,16,0
60,32748,681,Female,16,6,29,0
29,41097,869,Female,4,4,30,0
43,23092,441,Male,89,14,34,1
30,73311,667,Female,34,2,44,1
57,42692,383,Female,92,9,7,0
35,144954,442,Female,46,7,47,1
42,43862,651,Male,75,7,29,1
50,110396,844,Female,77,8,38,1
64,99507,451,Male,31,10,20,0
57,100152,457,Male,25,13,14,0
60,90469,745,Male,74,11,33,1
29,24926,602,Female,24,5,26,0
61,111299,749,Male,65,1,1,0
53,23969,523,Female,25,2,9,0
21,55733,342,Male,28,12,4,0
22,89855,563,Female,36,10,26,0
54,61743,302,Female,82,11,3,0
25,59876,567,Female,6,9,46,1
59,127445,895,Male,66,10,12,1
45,40323,315,Female,67,14,16,1
48,36428,633,Female,72,5,20,0
26,54578,763,Male,95,0,22,1
46,106486,358,Male,48,13,32,1
31,128577,476,Female,83,1,49,1
57,84140,362,Male,70,7,14,0
58,146378,860,Male,78,10,13,1
39,127325,606,Male,67,7,8,1
28,103829,545,Female,48,5,43,1
40,26364,588,Male,65,2,36,0
18,148867,631,Female,44,13,29,1
63,55349,826,Male,94,1,28,1
54,20691,554,Male,63,12,22,0
38,146899,809,Female,46,5,33,1
43,115598,762,Male,19,0,6,0
63,86467,498,Male,64,13,8,1
53,65896,570,Male,83,9,49,1
40,77062,857,Male,73,5,3,0
18,117266,363,Female,71,8,1,0
57,99762,529,Female,50,6,26,0
32,33861,548,Female,63,8,32,1
38,116837,545,Female,41,1,31,0
64,133779,886,Female,7,10,43,1
26,108302,456,Female,9,13,44,1
26,121710,863,Female,4,4,45,1
27,83928,387,Male,89,8,36,1
43,126643,612,Female,49,6,26,1
58,135720,365,Female,76,8,27,1
52,103231,319,Female,6,13,2,0
42,61347,332,Male,82,10,35,1
43,23121,857,Female,21,5,48,0
28,103793,372,Female,15,14,42,1
55,48164,642,Female,67,6,7,0
19,45491,432,Male,66,9,43,1
24,79222,354,Female,56,4,49,1
35,43165,360,Male,68,5,49,1
44,134250,819,Male,32,0,40,1
51,23748,571,Male,66,0,36,0
44,118581,545,Male,29,1,48,1
34,46553,475,Female,66,10,44,1
60,136547,616,Male,34,13,37,1
61,80380,430,Male,27,3,21,0
41,64331,401,Female,60,10,13,1
42,116033,609,Male,39,8,14,0
24,116844,591,Male,44,6,45,1
23,140617,794,Male,82,5,3,1
41,59560,660,Male,36,14,17,1
50,73865,637,Male,19,0,0,0
46,66686,878,Male,91,4,11,1
60,95910,309,Female,45,10,40,1
39,24675,348,Female,84,11,41,1
43,86706,786,Female,21,12,49,1
45,126985,620,Female,23,3,16,0
38,129021,868,Male,94,4,18,1
24,144062,432,Male,89,10,35,1
34,147359,882,Male,95,8,47,1
37,97986,382,Female,27,11,6,0
58,96216,356,Female,98,2,8,0
37,30068,675,Male,72,3,7,0
39,74460,648,Male,19,7,24,0
45,120766,570,Female,41,2,6,0
57,66418,782,Female,26,12,41,1
24,46206,410,Female,28,2,7,0
18,148180,375,Female,64,12,23,1
49,20287,457,Male,68,8,16,0
30,42337,831,Female,95,4,11,1
47,40666,628,Female,80,9,45,1
40,136595,421,Male,51,0,30,0
36,21161,340,Male,74,6,11,0
49,134817,466,Male,48,6,1,0
47,141025,322,Female,10,14,11,0
46,120667,578,Female,73,5,26,1
62,110071,768,Female,39,5,45,1
46,118064,699,Female,19,2,6,0
47,58751,308,Male,64,2,12,0
33,102063,312,Male,19,9,35,1
57,126511,351,Female,76,10,0,0
36,109389,508,Female,62,8,48,1
35,34758,849,Female,13,0,34,0
18,85780,701,Male,25,6,29,0
31,135614,490,Female,89,12,30,1
64,23178,350,Male,92,11,16,1
19,51831,692,Female,42,10,7,0
45,22176,599,Male,39,9,2,0
47,123306,495,Male,30,6,9,0
55,53654,716,Female,5,7,33,0
21,143220,719,Male,81,5,21,1
18,46627,821,Male,18,7,3,0
25,72550,655,Female,21,0,31,0
46,132025,447,Male,86,0,28,1
56,64910,664,Female,50,8,45,1
20,110417,663,Male,6,11,10,0
49,78251,701,Male,50,3,45,1
27,55422,791,Male,80,2,12,0
27,31984,528,Male,66,5,3,0
36,109312,874,Female,1,9,1,0
63,81386,836,Female,57,11,33,1
51,103291,567,Female,30,12,42,1
50,27135,704,Male,58,11,21,1
40,20320,310,Male,52,8,4,0
45,122958,619,Female,37,9,8,0
49,114171,425,Female,48,10,19,0
24,41684,605,Female,87,3,20,1
46,75913,810,Female,1,8,16,0
25,108774,388,Male,19,14,11,1
18,41889,654,Female,46,4,27,0
20,115849,651,Male,67,12,17,1
41,118071,313,Female,2,6,2,0
40,68899,556,Male,56,2,4,0
25,144011,508,Female,17,2,13,0
64,30770,580,Female,92,11,47,1
54,59321,742,Male,82,2,25,1
20,105962,688,Male,97,7,18,1
50,129863,782,Female,79,13,40,1
45,61777,446,Male,22,5,16,0
64,66250,578,Female,27,8,38,1
25,93034,820,Male,55,8,41,1
51,124940,733,Female,32,7,3,0
52,60130,443,Female,60,0,41,1
49,101931,588,Female,83,5,34,1
41,69346,685,Female,28,3,23,0
31,22537,313,Female,28,3,40,0
49,104762,556,Female,74,2,12,0
63,35216,645,Female,84,11,32,1
60,104149,644,Female,25,8,14,0
33,23009,699,Male,85,1,14,0
21,109904,506,Male,78,0,30,0
54,49327,471,Male,86,13,42,1
38,34209,763,Female,26,14,27,0
31,68443,569,Female,75,9,9,0
48,35029,520,Female,71,2,6,0
35,87613,451,Male,17,12,32,1
24,99443,482,Male,82,14,6,1
27,76997,698,Male,7,3,4,0
24,122171,371,Male,56,3,25,1
50,134456,717,Male,64,5,15,0
40,82559,582,Female,20,0,7,0
38,84892,373,Male,38,0,21,0
36,90409,654,Female,75,1,33,1
36,28635,796,Female,58,3,39,1
53,53065,627,Female,16,6,27,0
46,131399,834,Male,51,5,45,1
35,140544,879,Male,27,14,35,1
19,127340,746,Female,51,10,46,1
18,53783,672,Male,75,8,6,0
64,54152,661,Male,16,6,39,1
22,78741,392,Female,87,11,42,1
37,127049,620,Female,60,4,27,1
28,71502,623,Female,76,5,1,0
59,49092,683,Female,40,9,8,0
19,37653,874,Female,67,8,5,0
20,117999,645,Male,2,0,0,0
40,119564,402,Female,48,10,2,0
29,60469,514,Male,52,8,9,0
37,143064,491,Male,24,5,36,1
22,106483,493,Female,93,11,43,1
54,141585,679,Female,98,3,22,1
55,79754,702,Male,84,11,32,1
47,49978,899,Female,82,4,8,0
26,107592,310,Male,78,12,12,1
51,114543,486,Female,82,0,27,1
61,63169,314,Female,2,6,6,0
52,68287,596,Male,65,12,25,1
39,74745,710,Male,20,14,15,0
61,130168,884,Female,34,14,39,1
41,133985,351,Female,41,12,25,1
34,140843,327,Female,41,7,38,1
27,25543,876,Male,75,10,31,1
47,76392,316,Female,91,4,35,1
63,41067,650,Female,23,1,41,0
40,71033,727,Female,38,7,0,0
49,65256,528,Female,44,9,48,1
34,110633,509,Male,67,6,20,0
34,128383,730,Male,62,9,12,1
31,129048,593,Male,12,8,25,0
26,89345,881,Female,30,3,44,1
57,42191,403,Female,95,10,8,0
19,106803,503,Female,87,8,36,1
62,92742,352,Male,65,3,22,0
42,138843,674,Male,41,2,0,0
56,106593,353,Male,20,14,1,0
26,48992,575,Male,6,10,42,1
39,132050,634,Female,75,2,27,1
60,101531,330,Male,99,9,35,1
63,68803,434,Male,4,1,30,0
21,129975,357,Female,93,9,40,1
43,83477,404,Male,10,2,4,0
46,33210,565,Female,51,13,36,1
62,103329,821,Female,93,7,24,1
51,46270,795,Female,38,10,7,0
40,82008,552,Female,1,7,33,0
54,25197,594,Female,8,1,38,0
28,133857,457,Male,81,10,48,1
23,27452,848,Male,83,1,31,0
35,61486,366,Female,63,1,10,0
38,34859,598,Male,33,9,46,1
59,47236,762,Female,15,6,24,0
53,51899,400,Male,31,14,2,0
58,52083,355,Male,21,5,44,0
55,87708,631,Male,3,11,49,1
51,131462,692,Male,66,10,31,1
34,36663,680,Male,35,0,34,0
54,113076,391,Male,41,1,31,0
42,138665,746,Male,59,13,33,1
55,39053,408,Female,16,0,36,0
29,31085,616,Female,56,14,4,0
40,50564,467,Female,45,11,44,1
59,109745,734,Male,59,10,27,1
39,79095,741,Male,50,6,27,0
38,89517,517,Female,85,5,7,0
44,41153,521,Female,12,1,26,0
48,25247,827,Male,92,1,15,0
23,30553,577,Female,12,1,17,0
44,40811,868,Female,33,7,24,0
57,115381,873,Female,84,13,47,1
51,26135,765,Female,49,6,0,0
29,25573,883,Male,21,0,7,0
62,138819,329,Female,60,3,20,0
24,144588,658,Female,52,10,33,1
27,99267,587,Female,54,3,23,0
62,27189,385,Female,39,6,36,0
34,100077,533,Male,49,1,25,0
43,63646,612,Female,64,3,46,1
38,96623,664,Female,86,0,13,0
45,131971,568,Female,26,12,28,1
63,73687,430,Female,71,14,29,1
19,88312,650,Female,7,12,2,0
60,127615,479,Male,72,10,6,1
18,47564,779,Female,62,10,35,1
53,48835,462,Female,90,3,10,0
43,81587,395,Male,88,10,31,1
46,27697,809,Female,24,14,11,1
38,100165,664,Male,40,13,14,1
28,93922,652,Female,76,0,37,1
57,37046,735,Male,47,1,23,0
28,77823,382,Male,8,1,0,0
53,93580,524,Female,54,11,17,1
56,73370,711,Male,9,9,45,1
57,29615,417,Female,3,11,6,0
52,133338,781,Male,54,2,41,1
51,25060,491,Male,21,7,40,1
64,96436,890,Female,95,10,1,1
41,80519,889,Male,48,5,39,1
39,140562,406,Female,47,5,30,1
22,91117,681,Male,88,8,32,1
50,81158,689,Male,68,7,29,1
53,54782,543,Female,84,1,30,0
64,105709,884,Female,63,14,33,1
37,98533,767,Male,16,5,6,0
36,128939,837,Female,74,0,24,1
52,78255,509,Female,90,12,15,1
60,131952,372,Male,93,13,21,1
34,92684,608,Male,5,8,35,1
62,76918,889,Female,11,3,26,0
60,146093,485,Male,29,3,16,0
51,104284,552,Female,79,8,3,0
26,99558,312,Female,70,2,34,1
43,105549,598,Female,48,4,40,1
19,124223,375,Female,15,0,21,0
26,101422,350,Female,84,5,46,1
26,140363,448,Female,34,2,34,1
57,146352,421,Male,60,0,43,1
34,45256,510,Female,62,9,14,0
18,50005,579,Male,2,5,39,0
42,26638,837,Female,80,13,43,1
60,57419,455,Male,19,11,20,0
57,53377,537,Male,98,9,12,1
59,126244,675,Male,49,1,46,1
42,63116,381,Female,78,7,10,0
56,56634,791,Male,88,13,48,1
52,102291,655,Male,28,12,26,1
20,43382,572,Female,48,14,30,1
54,135303,879,Male,96,10,43,1
61,76063,343,Male,37,11,31,0
61,42394,872,Female,74,1,29,0
47,87789,422,Male,49,3,17,0
55,123246,648,Male,48,13,15,1
51,130634,629,Female,73,2,34,1
29,20864,708,Male,88,8,8,0
36,119572,622,Male,29,1,38,1
54,60222,410,Male,60,2,36,0
61,33666,388,Male,29,6,9,0
34,143664,732,Female,58,3,11,0
27,40955,398,Female,48,5,7,0
64,130674,838,Female,23,2,2,0
29,123533,445,Female,27,0,18,0
33,101845,556,Male,95,10,10,1
41,136925,488,Female,7,5,7,0
36,89590,539,Female,49,3,25,0
25,147775,802,Male,54,1,44,1
48,86471,570,Male,68,6,22,0
38,130476,819,Male,78,14,9,1
34,108314,849,Female,42,9,17,1
40,142579,413,Male,74,12,11,1
54,63298,638,Male,59,11,38,1
33,83108,867,Male,44,14,25,1
23,133864,658,Female,98,12,10,1
25,68924,633,Female,26,4,9,0
42,36709,468,Female,23,5,2,0
35,29726,638,Female,73,5,6,0
42,80824,560,Female,8,13,3,0
29,60542,498,Female,53,8,39,1
32,40245,510,Female,14,11,7,0
43,54753,586,Male,71,1,37,1
58,99788,771,Male,7,11,12,0
62,41316,781,Male,9,5,11,0
43,122907,322,Female,3,8,34,1
64,104698,859,Female,78,11,37,1
49,35960,408,Male,17,3,42,0
27,50791,595,Male,44,12,35,1
33,127766,305,Female,86,11,46,1
24,45216,849,Female,46,12,1,0
34,52467,502,Female,90,12,14,0
40,84427,624,Female,58,10,48,1
43,132470,543,Female,28,5,33,1
38,82047,626,Female,14,6,38,0
39,93290,346,Female,9,0,25,0
24,67014,890,Female,26,4,47,1
31,24078,312,Male,2,3,4,0
32,98389,679,Female,75,12,47,1
24,70519,664,Female,81,12,24,1
26,24042,641,Female,34,12,33,0
25,69052,520,Male,19,9,46,1
40,34389,372,Male,39,14,3,0
46,115961,345,Female,82,14,33,1
35,88111,803,Male,13,1,26,0
48,125058,573,Male,5,1,41,1
47,113715,854,Male,50,1,28,1
56,70733,507,Female,23,6,4,0
52,54754,423,Female,88,10,17,1
35,38624,309,Female,29,12,3,0
59,105886,628,Female,72,10,0,0
56,46681,486,Female,26,3,49,0
34,109524,842,Female,79,14,19,1
31,101006,359,Female,57,5,5,0
48,44704,741,Male,1,6,19,0
41,124272,516,Female,28,8,19,1
52,114913,301,Female,62,10,45,1
61,114108,835,Female,47,1,26,0
62,143731,655,Female,78,9,25,1
51,27493,464,Female,98,11,31,1
20,89639,390,Female,59,12,9,0
54,120380,466,Female,31,8,17,0
60,74383,506,Female,70,10,40,1
57,22994,581,Male,49,4,11,0
43,89280,364,Male,5,12,9,0
40,67234,815,Female,31,5,23,0
61,67291,456,Female,37,5,23,0
56,148674,605,Male,79,10,37,1
32,112868,694,Female,15,2,45,1
21,25594,373,Female,52,10,24,0
46,125835,486,Male,69,10,7,0
39,27371,873,Female,92,9,13,0
42,67315,636,Female,97,6,42,1
30,103564,867,Female,11,14,30,1
35,147251,539,Male,43,12,23,1
50,121448,832,Male,70,6,15,1
33,99526,440,Female,23,7,19,0
62,132387,564,Male,40,4,37,1
59,36626,438,Male,63,1,46,0
61,106005,758,Male,2,14,14,0
19,126258,369,Female,79,12,13,1
52,125573,684,Male,87,2,11,0
59,27130,497,Male,86,8,33,1
51,26828,504,Male,73,14,7,0
47,77514,867,Female,47,5,18,0
30,127148,730,Male,30,7,45,1
30,132524,624,Male,16,7,4,0
35,124635,741,Female,59,13,26,1
49,72664,587,Male,47,4,40,1
49,131701,525,Male,30,0,12,0
52,37883,363,Male,9,5,31,0
56,63059,859,Female,65,6,30,1
63,104078,797,Female,59,8,40,1
46,62932,359,Male,64,1,45,1
46,149900,696,Male,8,11,36,1
61,81269,556,Male,52,12,1,0
33,139850,876,Male,18,1,6,0
61,95986,538,Male,91,9,47,1
64,105959,337,Male,82,0,10,0
27,22035,324,Female,96,4,10,0
47,129767,709,Male,58,1,22,1
42,60745,760,Male,49,2,30,0
56,37241,870,Male,32,1,43,1
37,72975,716,Female,48,10,44,1
22,43154,656,Male,45,3,7,0
18,45625,682,Female,54,10,31,0
47,64950,457,Male,85,2,47,1
20,118602,868,Male,46,8,20,1
62,76396,732,Male,96,9,30,1
31,119227,347,Male,31,11,0,0
47,138920,627,Male,37,1,12,0
21,33331,732,Male,16,6,10,0
35,83927,730,Female,46,14,28,1
54,106226,355,Male,46,10,3,0
42,104719,876,Male,78,13,35,1
18,83014,567,Male,88,2,14,0
